Accuracy,F1,False Negative Scores,True Negative Scores,True Negative Rates,True Positive Scores,Positive Predictive Values,False Positive Scores,False Positive Rates,Negative Predictive Values,True Positive Rates,Matthews Correlation Coefficient,Threshold,Fraction Predicted As Positive,Fraction Predicted As Negative,Lift For Positive Class,Lift For Negative Class
0.7346938775510204,0.0,1495.0,4140.0,1.0,0.0,0.0,0.0,0.0,0.7346938775510204,0.0,0.0,1.0,0.0,1.0,0.0,1.0
0.734871339840284,0.001336898395721925,1494.0,4140.0,1.0,1.0,1.0,0.0,0.0,0.7348242811501597,0.0006688963210702341,0.022170278714856547,0.9098955817784844,0.0001774622892635315,0.9998225377107365,3.7692307692307687,1.0001774937877175
0.7391304347826086,0.03795811518324607,1466.0,4136.0,0.9990338164251208,29.0,0.8787878787878788,4.0,0.000966183574879227,0.738307747233131,0.01939799331103679,0.10664984373094175,0.8624347304015363,0.0058562555456965395,0.9941437444543034,3.312354312354312,1.0049188781784284
0.7416149068322981,0.061855670103092786,1447.0,4131.0,0.9978260869565218,48.0,0.8421052631578947,9.0,0.002173913043478261,0.7405880243814987,0.032107023411371234,0.13206749216422287,0.8421599970540667,0.010115350488021296,0.9898846495119787,3.1740890688259107,1.0080225887414844
0.746938775510204,0.1053952321204517,1411.0,4125.0,0.9963768115942029,84.0,0.8484848484848485,15.0,0.0036231884057971015,0.7451228323699421,0.05618729096989967,0.17664216659475812,0.8146003009512955,0.017568766637089617,0.9824312333629104,3.1981351981351986,1.0141949662813101
0.7503105590062111,0.12987012987012986,1390.0,4123.0,0.9958937198067633,105.0,0.860655737704918,17.0,0.004106280193236715,0.7478686740431707,0.07023411371237458,0.20060010217447277,0.8024174781113469,0.02165039929015084,0.9783496007098491,3.2440100882723835,1.0179323618920935
0.7559893522626442,0.1800834824090638,1344.0,4109.0,0.9925120772946859,151.0,0.8296703296703297,31.0,0.00748792270531401,0.7535301668806161,0.10100334448160535,0.23353423820738628,0.7765370024306805,0.03229813664596273,0.9677018633540373,3.1272189349112427,1.0256382826986163
0.760603371783496,0.21341107871720116,1312.0,4103.0,0.9910628019323672,183.0,0.8318181818181818,37.0,0.008937198067632851,0.7577100646352724,0.12240802675585284,0.25863924423835344,0.7662062540360509,0.03904170363797693,0.9609582963620231,3.135314685314685,1.0313275879757875
0.7646850044365572,0.23880597014925373,1287.0,4101.0,0.9905797101449275,208.0,0.8421052631578947,39.0,0.009420289855072464,0.7611358574610245,0.1391304347826087,0.27972574636906306,0.7580460307389623,0.04383318544809228,0.9561668145519078,3.1740890688259107,1.0359904726552833
0.7714285714285715,0.2836484983314794,1240.0,4092.0,0.9884057971014493,255.0,0.8415841584158416,48.0,0.011594202898550725,0.7674418604651163,0.1705685618729097,0.31115835349594284,0.7360246358810826,0.05377107364685004,0.9462289263531499,3.172124904798172,1.0445736434108528
0.7755102040816326,0.3143631436314363,1205.0,4080.0,0.9855072463768116,290.0,0.8285714285714286,60.0,0.014492753623188406,0.771996215704825,0.1939799331103679,0.32832025914098645,0.7215570954158916,0.062111801242236024,0.937888198757764,3.123076923076923,1.0507726269315674
0.7756876663708961,0.3182308522114347,1200.0,4076.0,0.9845410628019323,295.0,0.8217270194986073,64.0,0.015458937198067632,0.7725549658832449,0.19732441471571907,0.32875428065898776,0.7143443881530309,0.06370896184560781,0.9362910381543922,3.0972787658024425,1.0515331480077499
0.7792369121561669,0.3486910994764398,1162.0,4058.0,0.9801932367149758,333.0,0.8024096385542169,82.0,0.019806763285024155,0.7773946360153257,0.22274247491638796,0.34302039744988455,0.6985454531463441,0.07364685004436557,0.9263531499556344,3.0244670991658946,1.0581204767986376
0.782963620230701,0.3782409761057448,1123.0,4040.0,0.9758454106280193,372.0,0.788135593220339,100.0,0.024154589371980676,0.7824907999225257,0.24882943143812708,0.3580578092405581,0.6773072608784515,0.08376220053238687,0.9162377994676132,2.970664928292047,1.065056922116771
0.7842058562555457,0.38894472361809046,1108.0,4032.0,0.9739130434782609,387.0,0.7818181818181819,108.0,0.02608695652173913,0.7844357976653696,0.2588628762541806,0.36305687003063136,0.6723205410777958,0.0878438331854481,0.9121561668145519,2.9468531468531465,1.067704280155642
0.7840283939662822,0.39841819080573404,1092.0,4015.0,0.9698067632850241,403.0,0.7632575757575758,125.0,0.030193236714975844,0.7861758370863521,0.26956521739130435,0.36265543465141387,0.6597828401980224,0.09370008873114463,0.9062999112688553,2.8768939393939394,1.0700726671453125
0.7877551020408163,0.425,1053.0,3997.0,0.9654589371980676,442.0,0.7555555555555555,143.0,0.034541062801932365,0.7914851485148515,0.2956521739130435,0.37793968574738024,0.6464317450143454,0.10381543921916593,0.8961845607808341,2.847863247863248,1.0772992299229922
0.7897071872227152,0.4449648711943794,1020.0,3975.0,0.9601449275362319,475.0,0.7421875,165.0,0.03985507246376811,0.7957957957957958,0.3177257525083612,0.3866390878524949,0.6309903422847395,0.11357586512866016,0.8864241348713399,2.7974759615384617,1.0831664998331665
0.7897071872227152,0.45164275798241554,1007.0,3962.0,0.9570048309178744,488.0,0.7327327327327328,178.0,0.042995169082125605,0.7973435298852888,0.32642140468227426,0.3876048499371772,0.6235107945098898,0.11818988464951198,0.881810115350488,2.761838761838762,1.0852731378994207
0.7907719609582964,0.461889548151529,989.0,3950.0,0.9541062801932367,506.0,0.7270114942528736,190.0,0.04589371980676329,0.799757035837214,0.3384615384615385,0.3925754956494855,0.6122762558665739,0.12351375332741793,0.876486246672582,2.7402740937223697,1.0885581876673192
0.7923691215616682,0.4795373665480427,956.0,3926.0,0.9483091787439614,539.0,0.7158034528552457,214.0,0.051690821256038647,0.8041786153215895,0.3605351170568562,0.40074118290378813,0.5956461020076114,0.13362910381543922,0.8663708961845608,2.6980283992236185,1.0945764486321636
0.7920141969831411,0.4913194444444444,929.0,3897.0,0.941304347826087,566.0,0.6996291718170581,243.0,0.058695652173913045,0.8075010360547037,0.3785953177257525,0.4027788275088593,0.5822239766528149,0.14356699201419698,0.856433007985803,2.6370638014642958,1.0990986324077912
0.7941437444543035,0.5029991431019709,908.0,3888.0,0.9391304347826087,587.0,0.699642431466031,252.0,0.06086956521739131,0.810675562969141,0.39264214046822743,0.4114723747842604,0.5756610351675886,0.14889086069210292,0.8511091393078971,2.637113780141194,1.103419516263553
0.7948535936113575,0.5101694915254237,893.0,3877.0,0.9364734299516908,602.0,0.6959537572254335,263.0,0.06352657004830918,0.8127882599580712,0.40267558528428093,0.415378567257565,0.5702523043993287,0.15350488021295475,0.8464951197870453,2.623210315695865,1.106295131609597
0.7962732919254658,0.5256198347107438,859.0,3851.0,0.9301932367149759,636.0,0.6875675675675675,289.0,0.06980676328502415,0.8176220806794056,0.4254180602006689,0.42385274093895453,0.5576863772226834,0.16415261756876665,0.8358473824312334,2.5916008316008314,1.1128744987025243
0.8001774622892636,0.5452342487883683,820.0,3834.0,0.9260869565217391,675.0,0.6880733944954128,306.0,0.07391304347826087,0.8238074774387624,0.451505016722408,0.43963861124741965,0.5432653486083446,0.1740905057675244,0.8259094942324756,2.593507410021171,1.1212935109583153
0.8017746228926353,0.559020923805764,787.0,3810.0,0.9202898550724637,708.0,0.6820809248554913,330.0,0.07971014492753623,0.8288013922123124,0.4735785953177257,0.4485759986393001,0.5303250367676147,0.1842058562555457,0.8157941437444542,2.570920409070698,1.1280907838445364
0.8019520851818989,0.5606299212598426,783.0,3807.0,0.9195652173913044,712.0,0.6813397129186602,333.0,0.08043478260869565,0.8294117647058824,0.4762541806020067,0.449628004463179,0.5286628487050596,0.18544809228039041,0.8145519077196096,2.5681266102318734,1.128921568627451
0.8033717834960071,0.5722007722007721,754.0,3786.0,0.9144927536231884,741.0,0.6767123287671233,354.0,0.08550724637681159,0.8339207048458149,0.4956521739130435,0.45763910297174654,0.5174803212958038,0.19432120674356698,0.805678793256433,2.5506849315068494,1.1350587371512482
0.8046140195208518,0.5840574234982999,722.0,3761.0,0.9084541062801932,773.0,0.6710069444444444,379.0,0.09154589371980676,0.8389471336158822,0.517056856187291,0.4658229820110512,0.5019089949468953,0.2044365572315883,0.7955634427684117,2.5291800213675217,1.1419002651993952
0.80603371783496,0.5953350610884858,691.0,3738.0,0.9028985507246376,804.0,0.6666666666666666,402.0,0.09710144927536232,0.8439828403702867,0.5377926421404682,0.47438248322645016,0.4893695902478633,0.214019520851819,0.785980479148181,2.5128205128205123,1.1487544216151124
0.8051464063886424,0.5995623632385121,673.0,3715.0,0.8973429951690821,822.0,0.6591820368885325,425.0,0.10265700483091787,0.8466271649954421,0.5498327759197325,0.4755897600624767,0.4807901269135334,0.22129547471162378,0.7787045252883762,2.484609215964469,1.1523536412437962
0.8055013309671695,0.602322206095791,665.0,3709.0,0.8958937198067632,830.0,0.6582077716098335,431.0,0.10410628019323671,0.8479652491998171,0.5551839464882943,0.4778319212530038,0.476495386269895,0.22377994676131321,0.7762200532386868,2.480936985298603,1.154174922521973
0.8044365572315882,0.6081081081081081,640.0,3678.0,0.8884057971014493,855.0,0.6492027334851936,462.0,0.11159420289855072,0.8517832329782307,0.5719063545150501,0.48021862537020604,0.4648799896345846,0.23371783496007098,0.766282165039929,2.4469949185211144,1.159371622664814
0.8026619343389529,0.6120027913468249,618.0,3646.0,0.8806763285024155,877.0,0.6396790663749088,494.0,0.11932367149758454,0.8550656660412758,0.5866220735785953,0.4808257718717668,0.44806495070949676,0.24330079858030168,0.7566992014196983,2.4110980194131177,1.1638393787784034
0.8023070097604259,0.6187542778918549,591.0,3617.0,0.8736714975845411,904.0,0.6334968465311843,523.0,0.12632850241545893,0.8595532319391636,0.6046822742474917,0.48564633709971555,0.4355156466596319,0.2532386867790595,0.7467613132209405,2.387795806156002,1.1699474545838615
0.8010647737355812,0.6183180115764385,587.0,3606.0,0.8710144927536232,908.0,0.6296809986130375,534.0,0.1289855072463768,0.8600047698545195,0.6073578595317726,0.48399600508940865,0.4325797888877582,0.25590062111801243,0.7440993788819876,2.373412994772218,1.1705620478575403
0.7998225377107364,0.6209677419354839,571.0,3583.0,0.8654589371980677,924.0,0.6239027683997299,557.0,0.13454106280193237,0.8625421280693307,0.6180602006688963,0.4849798108792826,0.4237821038764164,0.2628216503992902,0.7371783496007098,2.3516335116605203,1.1740156743165893
0.7962732919254658,0.6213720316622692,553.0,3545.0,0.856280193236715,942.0,0.6128822381262199,595.0,0.14371980676328502,0.8650561249389946,0.6301003344481605,0.48214096821210356,0.4120737076233388,0.2727595385980479,0.7272404614019521,2.310094589860367,1.177437503389187
0.7929015084294587,0.6224522808152702,533.0,3506.0,0.8468599033816425,962.0,0.6027568922305765,634.0,0.15314009661835748,0.8680366427333498,0.6434782608695652,0.48046647924235925,0.4004366859248465,0.28322981366459626,0.7167701863354037,2.2719298245614032,1.1814943192759484
0.7914818101153505,0.6266285351128058,509.0,3474.0,0.8391304347826087,986.0,0.5968523002421308,666.0,0.1608695652173913,0.8722068792367562,0.6595317725752509,0.4836342479812696,0.3913362676983217,0.29316770186335406,0.7068322981366459,2.2496740547588003,1.187170474516696
0.7898846495119787,0.6276729559748427,497.0,3453.0,0.8340579710144927,998.0,0.5922848664688427,687.0,0.16594202898550725,0.8741772151898735,0.6675585284280936,0.4837200394074522,0.38483944697673655,0.2990239574090506,0.7009760425909495,2.232458342844099,1.1898523206751055
0.7889973380656611,0.6290171606864274,487.0,3438.0,0.8304347826086956,1008.0,0.5894736842105263,702.0,0.16956521739130434,0.8759235668789809,0.6742474916387959,0.48464187098143247,0.3813473163315434,0.3034605146406389,0.6965394853593612,2.221862348178137,1.1922292993630572
0.7870452528837621,0.6319018404907976,465.0,3405.0,0.822463768115942,1030.0,0.5835694050991501,735.0,0.17753623188405798,0.8798449612403101,0.6889632107023411,0.48682913770436875,0.3692235634283638,0.3132209405501331,0.6867790594498668,2.199607757681412,1.197566752799311
0.7842058562555457,0.6337349397590362,443.0,3367.0,0.8132850241545894,1052.0,0.5764383561643835,773.0,0.18671497584541064,0.8837270341207349,0.7036789297658863,0.48773857712831536,0.3581765294164542,0.323868677905945,0.676131322094055,2.1727291886196,1.2028506853310004
0.7801242236024845,0.63397341211226,422.0,3323.0,0.8026570048309178,1073.0,0.5677248677248677,817.0,0.19734299516908213,0.8873164218958611,0.7177257525083612,0.4866165235542833,0.34631010136553747,0.33540372670807456,0.6645962732919255,2.13988603988604,1.2077362409138108
0.7774622892635314,0.6350407450523865,404.0,3290.0,0.7946859903381642,1091.0,0.5620814013395157,850.0,0.20531400966183574,0.8906334596643205,0.7297658862876254,0.48726497763521387,0.3371356137577172,0.34445430346051464,0.6555456965394854,2.1186145127412517,1.2122510978764363
0.7767524401064774,0.6345148169668797,403.0,3285.0,0.7934782608695652,1092.0,0.5608628659476117,855.0,0.20652173913043478,0.8907266811279827,0.7304347826086957,0.4864089370183735,0.3362428436668194,0.3455190771960958,0.6544809228039041,2.1140215716486903,1.212377982646421
0.7726708074534161,0.6345221112696149,383.0,3242.0,0.7830917874396135,1112.0,0.5532338308457712,898.0,0.21690821256038648,0.8943448275862069,0.7438127090301003,0.4856245542100311,0.3259036655786803,0.3566992014196983,0.6433007985803016,2.0852659778032914,1.2173026819923372
0.7685891748003549,0.6339135317237508,366.0,3202.0,0.7734299516908213,1129.0,0.5462022254475085,938.0,0.22657004830917873,0.8974215246636771,0.7551839464882943,0.48425786505859836,0.31588941932588827,0.3668145519077196,0.6331854480922804,2.0587622343790706,1.2214904085700051
0.763265306122449,0.6310840707964602,354.0,3160.0,0.7632850241545893,1141.0,0.5379537953795379,980.0,0.23671497584541062,0.8992601024473534,0.7632107023411371,0.47978250152584506,0.3057017077424052,0.3763975155279503,0.6236024844720497,2.0276719979690276,1.2239929172200088
0.75829636202307,0.6288828337874659,341.0,3119.0,0.7533816425120773,1154.0,0.5305747126436782,1021.0,0.2466183574879227,0.9014450867052023,0.7719063545150502,0.4763767574893164,0.29376352831422664,0.385980479148181,0.614019520851819,1.9998585322723255,1.2269669235709697
0.757586512866016,0.6296095444685467,334.0,3108.0,0.7507246376811594,1161.0,0.5294117647058824,1032.0,0.2492753623188406,0.9029633933759442,0.7765886287625418,0.4774904783733804,0.2900995830783866,0.3891748003549246,0.6108251996450754,1.9954751131221717,1.2290335076505907
0.7554569653948536,0.6303648068669528,320.0,3082.0,0.7444444444444445,1175.0,0.5261979399910435,1058.0,0.25555555555555554,0.9059376837154615,0.7859531772575251,0.4787522397510297,0.280286430914255,0.39627329192546584,0.6037267080745341,1.983361466120087,1.2330818472793783
0.7533274179236912,0.6328578975171685,297.0,3047.0,0.7359903381642512,1198.0,0.5229157573112178,1093.0,0.2640096618357488,0.9111842105263158,0.8013377926421404,0.4829638954427719,0.2689709801383174,0.4065661047027507,0.5934338952972493,1.9709901621730517,1.2402229532163742
0.7499556344276841,0.6331684457172612,279.0,3010.0,0.7270531400966184,1216.0,0.5183290707587382,1130.0,0.27294685990338163,0.9151717847370021,0.8133779264214047,0.4840220342836041,0.2597578230991028,0.4163265306122449,0.5836734693877551,1.953701882090629,1.2456504847809196
0.7458740017746229,0.6324435318275154,263.0,2971.0,0.7176328502415459,1232.0,0.5131195335276968,1169.0,0.2823671497584541,0.9186765615337044,0.8240802675585285,0.4836420255825676,0.2502956541173607,0.4260869565217391,0.5739130434782609,1.9340659340659343,1.2504208754208754
0.7419698314108252,0.6317122593718338,248.0,2934.0,0.7086956521739131,1247.0,0.5083571137382796,1206.0,0.29130434782608694,0.9220615964802011,0.834113712374582,0.48335836248427144,0.2416743612473897,0.4353149955634428,0.5646850044365572,1.9161152748596695,1.2550282840980516
0.7417923691215617,0.6317388003037205,247.0,2932.0,0.7082125603864734,1248.0,0.50814332247557,1208.0,0.29178743961352654,0.9223026108839257,0.8347826086956521,0.4834563706946603,0.24129737222148273,0.4358473824312334,0.5641526175687666,1.9153094462540714,1.255356331480899
